Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,UpdateCo2,1768056906.965953,1114,0,1
1,UpdateCFP,1768056906.967181,7799,0,1
1,UpdateCFP,1768056906.975003,2469,0,1
1,UpdateCFP,1768056906.977489,1940,0,1
2,UpdateCo2,1768056906.979443,181,0,1
1,UpdateCFP,1768056906.979634,1519,0,1
1,UpdateCFP,1768056906.981165,1063,0,1
1,UpdateCFP,1768056906.982240,1506,0,1
2,UpdateCo2,1768056906.983760,150,0,1
1,UpdateCFP,1768056906.983919,1253,0,1
2,UpdateCo2,1768056906.985186,412,0,1
2,UpdateCo2,1768056906.985607,219,0,1
1,UpdateCFP,1768056906.985835,943,0,1
2,UpdateCo2,1768056906.986790,118,0,1
1,UpdateCFP,1768056906.986916,1425,0,1
1,UpdateCFP,1768056906.988355,1162,0,1
1,UpdateCFP,1768056906.989529,1225,0,1
1,UpdateCFP,1768056906.990768,1079,0,1
2,UpdateCo2,1768056906.991859,154,0,1
1,UpdateCFP,1768056906.992023,1144,0,1
2,UpdateCo2,1768056906.993180,120,0,1
1,UpdateCFP,1768056906.993309,1124,0,1
1,UpdateCFP,1768056906.994447,1117,0,1
1,UpdateCFP,1768056906.995577,1345,0,1
1,UpdateCFP,1768056906.996936,1210,0,1
2,UpdateCo2,1768056906.998223,148,0,1
2,UpdateCo2,1768056906.998383,132,0,1
1,UpdateCFP,1768056906.998521,1337,0,1
1,UpdateCFP,1768056906.999877,1646,0,1
2,UpdateCo2,1768056907.001536,115,0,1
2,UpdateCo2,1768056907.001658,109,0,1
2,UpdateCo2,1768056907.001774,154,0,1
2,UpdateCo2,1768056907.001937,728,0,1
2,UpdateCo2,1768056907.002674,132,0,1
1,UpdateCFP,1768056907.002812,1466,0,1
1,UpdateCFP,1768056907.004293,1805,0,1
2,UpdateCo2,1768056907.006112,137,0,1
1,UpdateCFP,1768056907.006269,1193,0,1
1,UpdateCFP,1768056907.007476,1324,0,1
1,UpdateCFP,1768056907.008813,1130,0,1
1,UpdateCFP,1768056907.009955,1343,0,1
2,UpdateCo2,1768056907.011312,105,0,1
2,UpdateCo2,1768056907.011422,100,0,1
2,UpdateCo2,1768056907.011544,101,0,1
2,UpdateCo2,1768056907.011653,102,0,1
1,UpdateCFP,1768056907.011764,981,0,1
1,UpdateCFP,1768056907.012758,1139,0,1
2,UpdateCo2,1768056907.013912,98,0,1
2,UpdateCo2,1768056907.014016,125,0,1
1,UpdateCFP,1768056907.014147,1695,0,1
1,UpdateCFP,1768056907.015854,1101,0,1
2,UpdateCo2,1768056907.016969,109,0,1
2,UpdateCo2,1768056907.017084,105,0,1
2,UpdateCo2,1768056907.017194,138,0,1
2,UpdateCo2,1768056907.017340,103,0,1
1,UpdateCFP,1768056907.017452,1002,0,1
2,UpdateCo2,1768056907.018467,118,0,1
1,UpdateCFP,1768056907.018594,1308,0,1
2,UpdateCo2,1768056907.019914,127,0,1
1,UpdateCFP,1768056907.020047,1112,0,1
2,UpdateCo2,1768056907.021171,137,0,1
1,UpdateCFP,1768056907.021318,1225,0,1
1,UpdateCFP,1768056907.022555,1245,0,1
2,UpdateCo2,1768056907.023812,165,0,1
1,UpdateCFP,1768056907.023988,1150,0,1
2,UpdateCo2,1768056907.025152,100,0,1
2,UpdateCo2,1768056907.025270,99,0,1
2,UpdateCo2,1768056907.025374,97,0,1
2,UpdateCo2,1768056907.025477,95,0,1
1,UpdateCFP,1768056907.025581,1405,0,1
2,UpdateCo2,1768056907.026999,105,0,1
