Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1550.200,0.634,0.052,0.100,0.331,1.101,1.386,1.540,1.884,7.799,1.577
5,1487.800,0.664,0.049,0.095,0.420,1.201,1.461,1.596,1.916,4.047,1.506
10,1966.000,0.503,0.043,0.083,0.505,0.864,1.111,1.255,1.574,25.871,1.987
15,1768.200,0.558,0.068,0.087,0.199,0.954,1.230,1.403,1.947,3.600,1.791
20,1831.000,0.540,0.042,0.087,0.592,0.925,1.181,1.319,1.641,3.480,1.853
25,1875.200,0.527,0.037,0.084,0.211,0.921,1.166,1.299,1.614,12.908,1.898
30,1810.600,0.546,0.073,0.084,0.321,0.967,1.192,1.327,1.623,2.239,1.832
35,1682.200,0.590,0.073,0.085,0.664,1.038,1.278,1.430,1.741,3.408,1.694
40,1796.400,0.553,0.037,0.084,0.341,0.981,1.215,1.354,1.661,4.088,1.810
45,1759.200,0.564,0.069,0.086,0.608,0.989,1.228,1.365,1.649,5.643,1.772
50,1779.000,0.558,0.038,0.085,0.623,0.974,1.205,1.343,1.636,19.893,1.792
55,1803.800,0.550,0.038,0.084,0.587,0.957,1.230,1.374,1.667,2.877,1.817
60,0.600,0.486,0.098,0.098,0.102,1.257,1.257,1.257,1.257,1.257,2.059
