Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,523.200,1.676,0.768,1.265,1.510,1.834,2.412,2.847,4.748,10.524,0.597
5,637.200,1.415,0.773,1.201,1.370,1.569,1.806,1.969,2.363,6.982,0.707
10,728.600,1.239,0.531,0.975,1.192,1.440,1.723,1.882,2.246,12.270,0.807
15,627.200,1.427,0.744,1.170,1.374,1.628,1.882,2.061,2.495,7.236,0.701
20,722.200,1.247,0.614,0.997,1.197,1.446,1.671,1.832,2.216,19.553,0.802
25,735.200,1.216,0.562,0.954,1.157,1.409,1.667,1.843,2.245,8.875,0.823
30,704.600,1.271,0.647,0.998,1.203,1.464,1.744,1.963,2.432,7.664,0.787
35,708.600,1.261,0.653,0.981,1.192,1.444,1.761,2.003,2.557,3.998,0.793
40,749.000,1.201,0.565,0.944,1.151,1.413,1.653,1.822,2.140,3.267,0.832
45,841.200,1.073,0.531,0.847,1.015,1.229,1.461,1.620,1.981,2.618,0.932
50,911.200,1.003,0.519,0.803,0.949,1.156,1.368,1.529,1.871,5.176,0.997
55,831.600,1.104,0.521,0.840,1.054,1.293,1.550,1.759,2.123,5.257,0.906
60,0.400,1.341,1.053,1.053,1.629,1.629,1.629,1.629,1.629,1.629,0.746
