Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,532.000,0.204,0.060,0.120,0.144,0.190,0.279,0.433,1.503,32.097,4.911
5,634.600,0.135,0.077,0.111,0.119,0.145,0.178,0.195,0.346,0.854,7.407
10,720.000,0.120,0.052,0.100,0.110,0.124,0.172,0.192,0.390,2.789,8.328
15,639.400,0.147,0.061,0.110,0.121,0.168,0.201,0.261,0.493,0.944,6.798
20,727.000,0.122,0.092,0.098,0.106,0.122,0.165,0.188,0.351,0.574,8.230
25,733.200,0.130,0.049,0.103,0.112,0.125,0.186,0.205,0.418,1.764,7.712
30,723.400,0.129,0.056,0.109,0.117,0.131,0.159,0.197,0.407,0.736,7.759
35,730.600,0.130,0.050,0.108,0.117,0.132,0.171,0.198,0.410,0.804,7.665
40,755.200,0.120,0.048,0.099,0.110,0.125,0.171,0.196,0.353,13.614,8.361
45,854.600,0.107,0.047,0.096,0.100,0.110,0.134,0.170,0.319,0.647,9.366
50,885.800,0.091,0.047,0.051,0.096,0.106,0.118,0.143,0.252,0.587,10.990
55,843.600,0.093,0.047,0.051,0.096,0.108,0.139,0.166,0.283,1.427,10.799
60,0.400,0.114,0.112,0.112,0.116,0.116,0.116,0.116,0.116,0.116,8.772
