Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,660,660.000,178,264,1294,1490,2404,3129,3887,5379,6479
1,1035,1035.000,69,181,1048,952,1604,1993,2275,2987,3799
2,1470,1470.000,65,75,263,673,1210,1460,1604,1937,2452
3,1072,1072.000,110,136,1083,919,1547,1884,2201,2766,5311
4,1242,1242.000,59,123,194,791,1359,1753,2067,2705,26816
5,1182,1182.000,63,124,1036,833,1465,1709,1883,2206,2692
6,1267,1267.000,104,126,540,779,1365,1657,1865,2287,3836
7,1270,1270.000,103,126,238,778,1362,1669,1907,2451,4220
8,1405,1405.000,98,116,669,703,1233,1538,1706,2172,2644
9,1618,1618.000,97,107,751,610,1021,1309,1448,1843,2557
10,1438,1438.000,58,110,793,688,1178,1451,1662,2033,13861
11,1345,1345.000,102,118,861,735,1301,1537,1689,1972,2427
12,1335,1335.000,103,119,889,740,1298,1562,1696,2014,2572
13,1339,1339.000,100,121,293,738,1298,1590,1741,2105,6238
14,1287,1287.000,102,116,949,768,1339,1592,1757,2086,2528
15,1323,1323.000,102,113,458,746,1330,1583,1754,2082,2697
16,1372,1372.000,93,110,783,720,1255,1522,1700,2051,3038
17,1639,1639.000,91,102,373,603,1045,1300,1504,1965,2462
18,1496,1496.000,92,116,762,660,1143,1418,1584,1900,2604
19,1497,1497.000,86,115,186,660,1152,1478,1639,2249,17251
20,1823,1823.000,93,97,682,543,914,1139,1269,1569,2135
21,1651,1651.000,88,102,385,599,1034,1312,1462,1743,2142
22,1745,1745.000,93,98,348,566,976,1223,1393,1671,1949
23,1595,1595.000,94,101,706,620,1051,1325,1486,2082,3478
24,1681,1681.000,63,100,686,589,1011,1262,1431,1774,2391
25,1522,1522.000,94,106,765,650,1111,1366,1546,1939,4515
26,1632,1632.000,94,104,631,605,1044,1303,1479,1865,2288
27,1542,1542.000,94,104,761,642,1065,1318,1534,1867,5608
28,1531,1531.000,93,107,738,645,1103,1368,1574,1891,5434
29,1694,1694.000,93,110,184,584,1001,1244,1429,1814,3364
30,1612,1612.000,98,112,686,613,1057,1293,1445,1813,4113
31,1709,1709.000,92,111,190,579,1000,1208,1364,1733,2381
32,1654,1654.000,91,112,716,597,1008,1261,1415,1766,2158
33,1589,1589.000,99,113,273,622,1062,1323,1500,1988,6831
34,1588,1588.000,98,113,165,622,1091,1397,1581,1897,2492
35,1699,1699.000,98,111,151,582,1019,1277,1446,1748,2560
36,1683,1683.000,93,110,224,587,975,1246,1439,2118,7695
37,1546,1546.000,92,111,707,640,1078,1350,1537,1938,14362
38,1672,1672.000,88,107,345,591,1009,1263,1435,1842,2612
39,1651,1651.000,94,107,660,599,1022,1273,1455,1804,2458
40,1613,1613.000,87,108,345,613,1059,1307,1490,1835,3647
41,1693,1693.000,94,105,728,585,993,1217,1361,1671,2189
42,1669,1669.000,93,105,185,595,1042,1281,1439,1931,2930
43,1501,1501.000,93,109,839,661,1132,1319,1437,1668,2054
44,1824,1824.000,93,103,166,544,946,1147,1300,1622,2729
45,1813,1813.000,94,102,143,547,958,1215,1368,1734,2462
46,1637,1637.000,93,106,286,606,1009,1279,1579,2110,3314
47,1265,1265.000,91,111,706,786,1368,1915,2112,2607,3139
48,1648,1648.000,93,102,203,602,977,1384,1686,2170,2980
49,1792,1792.000,93,103,718,554,936,1141,1260,1553,2082
50,1833,1833.000,94,101,683,541,919,1107,1245,1513,3156
51,1766,1766.000,93,102,681,562,955,1192,1301,1582,3712
52,1773,1773.000,93,101,663,559,944,1175,1291,1604,2334
53,1761,1761.000,93,98,672,564,959,1174,1311,1624,2178
54,1837,1837.000,93,97,672,540,905,1102,1250,1589,2161
55,2370,2370.000,47,51,141,420,749,936,1045,1232,1890
56,2082,2082.000,49,53,470,477,837,1040,1179,1511,2309
57,1607,1607.000,101,114,171,617,1074,1360,1555,1929,3052
58,1634,1634.000,93,112,243,609,1032,1286,1487,1966,5388
59,1750,1750.000,96,110,189,569,998,1213,1358,1624,2095
60,3,3.000,109,109,1123,813,1209,1209,1209,1209,1209
