Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,298.400,0.333,0.106,0.197,0.245,0.372,0.508,0.629,1.179,7.926,3.001
5,331.400,0.231,0.101,0.162,0.191,0.247,0.408,0.448,0.635,2.332,4.320
10,311.600,0.256,0.115,0.170,0.197,0.282,0.422,0.454,0.833,2.136,3.910
15,323.800,0.228,0.102,0.163,0.187,0.234,0.393,0.449,0.694,1.929,4.391
20,327.600,0.226,0.098,0.159,0.189,0.233,0.402,0.443,0.686,2.508,4.419
25,280.600,0.277,0.102,0.174,0.212,0.377,0.455,0.540,0.736,2.138,3.607
30,380.000,0.202,0.073,0.137,0.155,0.204,0.371,0.421,0.734,1.962,4.959
35,443.400,0.166,0.076,0.129,0.144,0.166,0.235,0.358,0.516,1.676,6.039
40,343.200,0.244,0.099,0.158,0.190,0.290,0.406,0.451,0.758,2.403,4.097
45,316.600,0.256,0.139,0.172,0.199,0.331,0.418,0.451,0.727,1.756,3.901
50,332.800,0.245,0.127,0.173,0.197,0.259,0.412,0.448,0.654,2.449,4.073
55,364.200,0.213,0.096,0.153,0.175,0.213,0.374,0.422,0.620,1.733,4.686
60,323.800,0.241,0.098,0.163,0.189,0.267,0.400,0.439,0.713,2.134,4.154
65,318.800,0.256,0.135,0.173,0.205,0.304,0.414,0.452,0.749,1.813,3.901
70,332.600,0.253,0.139,0.169,0.196,0.283,0.422,0.461,0.748,2.664,3.960
75,333.600,0.243,0.094,0.160,0.187,0.309,0.407,0.439,0.683,2.065,4.121
80,363.200,0.209,0.116,0.141,0.163,0.215,0.380,0.410,0.573,2.231,4.785
85,397.600,0.184,0.118,0.133,0.147,0.190,0.327,0.370,0.519,1.519,5.425
90,393.800,0.189,0.117,0.137,0.150,0.193,0.335,0.372,0.556,1.845,5.303
95,452.800,0.158,0.072,0.122,0.138,0.158,0.230,0.351,0.493,1.127,6.338
100,448.600,0.159,0.075,0.124,0.139,0.157,0.220,0.342,0.540,1.698,6.277
105,463.200,0.167,0.076,0.133,0.148,0.168,0.228,0.334,0.458,2.136,5.981
110,409.200,0.188,0.074,0.137,0.156,0.195,0.310,0.387,0.488,2.303,5.311
115,510.000,0.151,0.074,0.122,0.141,0.159,0.196,0.316,0.403,1.372,6.602
120,448.400,0.171,0.119,0.136,0.148,0.167,0.217,0.346,0.458,1.540,5.841
125,425.400,0.174,0.075,0.136,0.151,0.177,0.231,0.345,0.477,1.993,5.739
130,329.400,0.236,0.103,0.168,0.191,0.241,0.409,0.448,0.710,2.525,4.244
135,349.800,0.243,0.105,0.170,0.199,0.265,0.408,0.443,0.630,2.233,4.108
140,348.400,0.242,0.115,0.168,0.193,0.264,0.410,0.444,0.667,2.104,4.130
145,281.800,0.285,0.104,0.171,0.203,0.325,0.424,0.474,0.756,35.333,3.514
150,368.800,0.236,0.098,0.166,0.192,0.253,0.403,0.443,0.715,1.913,4.239
155,343.800,0.224,0.114,0.160,0.183,0.229,0.389,0.428,0.655,2.255,4.471
160,403.200,0.188,0.077,0.133,0.153,0.191,0.341,0.402,0.561,1.609,5.316
165,446.000,0.164,0.072,0.108,0.123,0.167,0.254,0.389,0.527,4.739,6.112
170,520.600,0.141,0.074,0.101,0.124,0.148,0.183,0.239,0.427,1.605,7.108
175,392.800,0.203,0.108,0.149,0.173,0.208,0.326,0.396,0.625,1.866,4.922
180,401.800,0.201,0.117,0.138,0.154,0.198,0.350,0.391,0.659,9.697,4.967
185,455.400,0.179,0.117,0.140,0.152,0.174,0.231,0.345,0.557,3.523,5.593
190,376.800,0.213,0.096,0.148,0.180,0.224,0.368,0.422,0.661,2.569,4.706
195,333.600,0.249,0.099,0.164,0.194,0.276,0.418,0.456,0.872,2.112,4.021
200,353.400,0.246,0.136,0.169,0.197,0.271,0.411,0.442,0.683,2.127,4.065
205,360.800,0.240,0.135,0.166,0.192,0.263,0.399,0.432,0.688,2.586,4.168
210,400.200,0.208,0.083,0.141,0.162,0.207,0.369,0.420,0.739,2.397,4.817
215,433.400,0.172,0.093,0.134,0.147,0.167,0.245,0.352,0.450,1.332,5.803
220,360.000,0.224,0.097,0.156,0.185,0.248,0.393,0.426,0.620,1.466,4.458
225,390.200,0.202,0.096,0.144,0.168,0.204,0.352,0.420,0.637,1.552,4.950
230,371.000,0.211,0.096,0.152,0.173,0.210,0.380,0.429,0.603,1.309,4.740
235,369.000,0.227,0.116,0.161,0.185,0.244,0.399,0.436,0.640,1.404,4.407
240,347.200,0.230,0.094,0.161,0.189,0.246,0.408,0.440,0.632,1.651,4.352
245,375.000,0.192,0.073,0.132,0.159,0.202,0.359,0.408,0.581,1.340,5.209
250,391.600,0.192,0.094,0.136,0.158,0.192,0.335,0.402,0.561,1.645,5.217
255,333.200,0.243,0.107,0.160,0.190,0.282,0.414,0.448,0.800,1.957,4.108
260,327.400,0.246,0.119,0.167,0.194,0.267,0.414,0.450,0.822,2.089,4.073
265,229.000,0.223,0.132,0.171,0.194,0.222,0.334,0.413,0.690,1.791,4.486
