Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1435.200,0.682,0.101,0.227,0.439,1.107,1.405,1.601,2.078,7.960,1.466
5,1633.000,0.604,0.092,0.181,0.319,1.043,1.306,1.462,1.806,3.324,1.655
10,1585.200,0.621,0.101,0.188,0.381,1.059,1.316,1.483,1.809,4.917,1.610
15,1656.800,0.596,0.096,0.180,0.269,1.036,1.302,1.454,1.798,2.802,1.679
20,1663.000,0.593,0.096,0.178,0.317,1.007,1.244,1.393,1.764,39.105,1.686
25,1443.800,0.682,0.089,0.197,0.414,1.081,1.511,1.875,2.342,4.602,1.466
30,1904.200,0.518,0.073,0.150,0.238,0.868,1.154,1.319,1.904,3.091,1.931
35,2184.400,0.453,0.075,0.140,0.186,0.791,1.000,1.129,1.376,3.470,2.208
40,1657.200,0.598,0.092,0.177,0.362,1.004,1.299,1.487,2.026,6.095,1.673
45,1579.400,0.627,0.125,0.189,0.388,1.064,1.327,1.487,1.918,16.224,1.595
50,1662.800,0.596,0.113,0.188,0.351,1.018,1.262,1.401,1.816,2.847,1.679
55,1791.400,0.553,0.088,0.168,0.267,0.963,1.199,1.337,1.671,3.253,1.807
60,1662.600,0.596,0.096,0.180,0.363,1.024,1.266,1.405,1.730,4.927,1.679
65,1624.000,0.613,0.131,0.192,0.376,1.043,1.292,1.433,1.767,3.038,1.632
70,1657.600,0.601,0.132,0.186,0.368,1.021,1.291,1.458,1.849,5.102,1.663
75,1677.200,0.594,0.094,0.179,0.372,1.011,1.259,1.399,1.728,13.617,1.683
80,1880.200,0.530,0.115,0.155,0.313,0.911,1.167,1.304,1.629,2.635,1.887
85,2004.000,0.497,0.116,0.144,0.240,0.851,1.087,1.210,1.473,5.103,2.011
90,2040.600,0.488,0.115,0.146,0.224,0.830,1.071,1.209,1.504,2.567,2.047
95,2265.400,0.440,0.070,0.135,0.177,0.760,0.985,1.110,1.386,3.176,2.271
100,2250.000,0.443,0.071,0.136,0.170,0.793,0.995,1.110,1.332,6.355,2.256
105,2211.400,0.451,0.072,0.144,0.185,0.780,0.999,1.128,1.396,5.136,2.218
110,2019.600,0.494,0.074,0.151,0.225,0.837,1.103,1.245,1.487,2.308,2.026
115,2448.400,0.407,0.071,0.136,0.168,0.715,0.900,1.019,1.269,7.358,2.455
120,2216.000,0.450,0.116,0.146,0.186,0.768,0.962,1.084,1.361,3.409,2.223
125,2122.600,0.470,0.075,0.147,0.193,0.816,1.041,1.159,1.447,15.887,2.129
130,1670.600,0.597,0.097,0.184,0.299,0.994,1.269,1.475,2.036,3.067,1.676
135,1689.600,0.590,0.095,0.188,0.346,1.003,1.250,1.403,1.912,5.271,1.696
140,1711.600,0.582,0.097,0.185,0.356,1.002,1.237,1.380,1.690,2.898,1.718
145,1554.400,0.641,0.099,0.191,0.398,1.055,1.303,1.518,2.179,35.333,1.560
150,1760.600,0.566,0.092,0.182,0.339,0.970,1.203,1.328,1.638,3.635,1.766
155,1759.600,0.566,0.110,0.175,0.282,0.976,1.191,1.349,1.723,2.662,1.766
160,2019.200,0.494,0.075,0.146,0.215,0.864,1.098,1.241,1.511,5.814,2.025
165,2253.400,0.442,0.072,0.119,0.195,0.750,0.987,1.122,1.462,4.739,2.260
170,2582.400,0.386,0.071,0.116,0.160,0.687,0.840,0.940,1.163,3.507,2.589
175,1993.200,0.500,0.099,0.164,0.225,0.868,1.084,1.214,1.489,4.799,2.000
180,2022.200,0.493,0.116,0.151,0.244,0.826,1.050,1.192,1.542,9.697,2.029
185,2280.200,0.437,0.117,0.150,0.186,0.727,0.922,1.066,1.450,5.011,2.288
190,1849.600,0.539,0.088,0.170,0.264,0.933,1.149,1.280,1.648,4.747,1.855
195,1650.400,0.604,0.093,0.185,0.387,1.023,1.257,1.390,1.838,5.373,1.657
200,1721.200,0.579,0.130,0.186,0.361,0.999,1.210,1.342,1.672,2.479,1.728
205,1733.000,0.575,0.132,0.183,0.355,0.983,1.213,1.345,1.672,2.987,1.740
210,1940.600,0.514,0.073,0.155,0.267,0.865,1.121,1.261,1.601,6.657,1.947
215,2179.400,0.457,0.090,0.144,0.188,0.786,0.996,1.118,1.376,3.917,2.186
220,1795.400,0.555,0.092,0.173,0.339,0.942,1.191,1.328,1.638,2.632,1.802
225,1919.400,0.519,0.093,0.161,0.223,0.899,1.150,1.286,1.665,4.756,1.926
230,1828.600,0.545,0.094,0.168,0.239,0.944,1.170,1.326,1.847,3.883,1.835
235,1766.800,0.564,0.115,0.178,0.342,0.957,1.158,1.308,1.707,4.102,1.773
240,1754.600,0.568,0.094,0.179,0.363,0.964,1.193,1.334,1.591,2.382,1.761
245,1927.000,0.517,0.072,0.153,0.270,0.895,1.122,1.260,1.547,2.947,1.933
250,1956.400,0.510,0.092,0.152,0.222,0.884,1.113,1.252,1.563,3.213,1.962
255,1662.000,0.599,0.104,0.178,0.364,1.018,1.278,1.434,2.007,5.024,1.668
260,1644.600,0.606,0.108,0.185,0.370,1.013,1.256,1.434,2.068,5.432,1.651
265,1098.200,0.537,0.120,0.186,0.238,0.945,1.138,1.263,1.568,5.500,1.864
