Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,1303,1303.000,193,296,476,750,1149,1447,1672,2150,7960
1,1369,1369.000,101,245,510,715,1122,1418,1580,1958,7604
2,1509,1509.000,101,204,397,649,1073,1367,1563,1977,7926
3,1385,1385.000,126,220,449,705,1160,1505,1703,2228,4601
4,1610,1610.000,104,196,374,608,1040,1298,1483,1920,2783
5,1630,1630.000,96,171,275,605,1053,1295,1451,1815,3271
6,1669,1669.000,97,183,301,589,1024,1296,1419,1697,3112
7,1708,1708.000,92,164,273,579,1018,1283,1443,1799,3074
8,1544,1544.000,111,194,398,639,1079,1356,1531,1870,2653
9,1614,1614.000,131,192,352,610,1055,1323,1461,1705,3324
10,1804,1804.000,104,172,223,547,959,1166,1306,1650,4917
11,1627,1627.000,101,189,375,604,1026,1289,1454,1742,2488
12,1496,1496.000,115,201,410,658,1106,1353,1525,1988,2825
13,1493,1493.000,138,195,409,659,1133,1389,1550,1819,3167
14,1506,1506.000,137,196,402,653,1123,1373,1535,1814,2388
15,1653,1653.000,121,180,293,596,1018,1280,1435,1721,2802
16,1731,1731.000,96,171,218,570,1010,1250,1394,1684,2508
17,1805,1805.000,101,164,202,547,1002,1242,1344,1618,1990
18,1557,1557.000,99,190,361,633,1090,1364,1546,1919,2304
19,1538,1538.000,138,219,357,641,1100,1382,1570,1912,2419
20,1474,1474.000,102,190,414,668,1106,1327,1477,1795,39105
21,1863,1863.000,96,160,222,531,954,1134,1240,1448,2277
22,1549,1549.000,140,196,410,635,1077,1316,1478,1769,3579
23,1684,1684.000,101,187,304,586,992,1250,1390,1774,2370
24,1745,1745.000,96,167,253,564,966,1197,1387,1947,2746
25,1597,1597.000,137,203,401,615,1012,1256,1405,1715,3045
26,1724,1724.000,135,187,366,570,973,1203,1335,1571,3323
27,1341,1341.000,133,207,421,733,1183,1622,1962,2391,3296
28,1338,1338.000,89,184,432,737,1159,1807,2123,2489,3089
