Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,316.000,1.172,0.620,0.974,1.118,1.285,1.512,1.684,2.427,3.843,0.854
5,348.000,1.110,0.598,0.931,1.055,1.237,1.450,1.582,2.005,2.706,0.901
10,358.000,1.061,0.525,0.882,1.023,1.198,1.393,1.532,1.790,2.990,0.943
15,364.600,1.081,0.523,0.844,1.028,1.252,1.503,1.677,2.118,3.764,0.925
20,325.200,1.163,0.638,0.963,1.106,1.291,1.493,1.662,2.215,8.284,0.860
25,344.000,1.111,0.592,0.914,1.045,1.217,1.417,1.628,2.160,17.934,0.900
30,330.600,1.140,0.626,0.956,1.090,1.278,1.480,1.623,2.031,2.584,0.877
35,318.200,1.167,0.667,0.967,1.103,1.291,1.527,1.721,2.270,2.809,0.857
40,339.200,1.147,0.667,0.973,1.097,1.268,1.487,1.644,2.031,2.642,0.872
45,335.800,1.191,0.644,0.977,1.128,1.315,1.567,1.747,2.241,15.999,0.840
50,332.000,1.172,0.660,0.966,1.127,1.319,1.532,1.703,2.102,2.843,0.853
55,341.800,1.123,0.555,0.929,1.077,1.263,1.471,1.643,2.029,3.081,0.891
60,405.400,0.930,0.502,0.752,0.873,1.062,1.259,1.409,1.705,2.331,1.075
65,446.200,0.903,0.505,0.732,0.860,1.024,1.222,1.340,1.617,2.370,1.107
70,464.200,0.885,0.497,0.722,0.834,0.993,1.175,1.295,1.607,9.850,1.130
75,516.800,0.796,0.482,0.643,0.755,0.898,1.064,1.175,1.413,4.285,1.256
80,410.200,0.957,0.497,0.761,0.904,1.089,1.281,1.426,1.912,2.960,1.045
85,450.000,0.861,0.505,0.728,0.824,0.955,1.108,1.223,1.471,2.899,1.161
90,396.400,0.985,0.522,0.804,0.939,1.111,1.326,1.485,1.917,2.563,1.015
95,456.000,0.883,0.501,0.724,0.837,0.998,1.176,1.293,1.657,3.159,1.133
100,424.200,0.952,0.497,0.775,0.904,1.079,1.272,1.449,1.772,2.643,1.050
105,410.400,0.971,0.500,0.788,0.932,1.110,1.315,1.422,1.829,2.472,1.030
110,348.000,1.148,0.537,0.956,1.100,1.286,1.512,1.649,2.036,2.622,0.871
115,411.200,0.951,0.504,0.763,0.896,1.092,1.281,1.405,1.748,2.458,1.052
120,339.600,1.121,0.554,0.935,1.081,1.266,1.466,1.621,1.915,2.657,0.892
125,429.800,0.914,0.458,0.724,0.864,1.046,1.257,1.403,1.728,4.430,1.094
130,328.400,1.147,0.658,0.937,1.089,1.293,1.524,1.695,2.115,3.023,0.871
135,409.600,0.949,0.473,0.739,0.903,1.107,1.317,1.478,1.789,2.282,1.054
140,431.600,0.900,0.444,0.728,0.853,1.032,1.220,1.344,1.641,3.090,1.111
145,372.400,1.028,0.440,0.833,0.985,1.182,1.392,1.518,1.826,2.494,0.973
150,351.600,1.109,0.474,0.893,1.044,1.261,1.531,1.782,2.220,2.850,0.902
155,331.400,1.202,0.669,0.968,1.127,1.341,1.647,1.852,2.445,2.980,0.832
160,371.200,1.080,0.541,0.856,1.025,1.244,1.500,1.655,1.991,2.920,0.926
165,380.000,1.031,0.489,0.824,0.977,1.172,1.384,1.558,2.161,3.146,0.970
170,384.600,1.041,0.476,0.851,1.006,1.187,1.388,1.545,1.979,3.700,0.960
175,452.800,0.874,0.499,0.710,0.808,0.975,1.171,1.297,1.747,11.388,1.144
180,372.800,1.052,0.498,0.840,1.017,1.201,1.400,1.559,2.015,2.982,0.951
185,345.600,1.170,0.645,0.979,1.124,1.305,1.516,1.679,2.075,5.054,0.855
190,313.800,1.222,0.649,0.992,1.158,1.362,1.637,1.839,2.440,4.773,0.818
195,328.600,1.190,0.669,0.969,1.124,1.334,1.589,1.774,2.331,3.102,0.840
200,328.200,1.179,0.668,0.971,1.122,1.318,1.547,1.746,2.080,2.662,0.848
205,327.200,1.165,0.651,0.957,1.105,1.299,1.500,1.686,2.064,19.406,0.858
210,330.200,1.182,0.636,0.982,1.139,1.315,1.543,1.706,2.194,4.574,0.846
215,409.800,0.984,0.455,0.816,0.951,1.107,1.302,1.440,1.769,2.764,1.016
220,460.800,0.873,0.475,0.711,0.826,0.992,1.173,1.305,1.590,2.259,1.145
225,453.400,0.874,0.452,0.717,0.824,0.988,1.172,1.292,1.618,2.447,1.144
230,468.600,0.834,0.481,0.694,0.792,0.920,1.100,1.199,1.479,4.887,1.198
235,417.000,0.952,0.501,0.765,0.902,1.085,1.308,1.445,1.778,3.629,1.050
240,410.400,0.946,0.480,0.754,0.892,1.094,1.293,1.443,1.747,5.509,1.057
245,390.600,1.000,0.480,0.754,0.960,1.173,1.398,1.560,2.059,3.817,1.000
250,330.600,1.146,0.624,0.950,1.085,1.275,1.490,1.661,2.212,3.167,0.873
255,340.600,1.174,0.668,0.973,1.125,1.310,1.531,1.700,2.093,2.693,0.852
260,173.600,1.123,0.676,0.940,1.083,1.254,1.468,1.572,1.862,2.360,0.890
