Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,631.200,0.249,0.097,0.164,0.196,0.263,0.455,0.522,0.914,2.621,4.022
5,702.800,0.203,0.088,0.147,0.171,0.210,0.357,0.417,0.588,1.224,4.930
10,734.600,0.204,0.089,0.142,0.164,0.217,0.380,0.420,0.482,2.045,4.899
15,695.400,0.213,0.078,0.137,0.156,0.216,0.379,0.425,0.586,33.730,4.689
20,676.000,0.227,0.099,0.154,0.182,0.249,0.399,0.443,0.686,1.510,4.408
25,732.800,0.198,0.088,0.140,0.162,0.204,0.377,0.421,0.586,1.703,5.041
30,667.200,0.226,0.097,0.155,0.185,0.253,0.401,0.433,0.628,1.175,4.426
35,670.600,0.231,0.109,0.154,0.180,0.269,0.409,0.443,0.583,1.503,4.320
40,701.800,0.214,0.098,0.158,0.181,0.219,0.379,0.422,0.560,1.764,4.670
45,644.000,0.231,0.105,0.153,0.181,0.263,0.403,0.440,0.671,1.084,4.323
50,638.600,0.234,0.131,0.154,0.181,0.289,0.405,0.440,0.636,1.075,4.268
55,692.200,0.218,0.110,0.149,0.177,0.245,0.394,0.426,0.546,1.490,4.585
60,835.000,0.167,0.115,0.127,0.140,0.163,0.260,0.352,0.446,1.428,5.986
65,881.600,0.161,0.114,0.125,0.137,0.153,0.229,0.345,0.422,0.955,6.214
70,896.600,0.156,0.073,0.123,0.135,0.152,0.214,0.331,0.430,0.769,6.421
75,989.000,0.127,0.090,0.100,0.115,0.126,0.153,0.197,0.414,1.230,7.890
80,838.200,0.170,0.077,0.125,0.142,0.170,0.298,0.371,0.478,0.860,5.866
85,907.600,0.155,0.115,0.124,0.136,0.147,0.202,0.327,0.385,0.715,6.466
90,814.000,0.181,0.090,0.127,0.141,0.183,0.343,0.379,0.537,1.365,5.536
95,923.000,0.157,0.071,0.125,0.137,0.154,0.209,0.333,0.439,1.005,6.357
100,806.800,0.168,0.070,0.122,0.140,0.170,0.288,0.373,0.529,1.108,5.957
105,809.200,0.168,0.074,0.121,0.140,0.171,0.299,0.373,0.475,1.016,5.957
110,648.600,0.229,0.122,0.156,0.187,0.259,0.403,0.431,0.565,1.041,4.369
115,793.400,0.181,0.115,0.133,0.147,0.184,0.324,0.383,0.477,1.405,5.529
120,694.200,0.215,0.091,0.144,0.171,0.241,0.393,0.430,0.595,1.012,4.653
125,851.400,0.164,0.070,0.124,0.138,0.161,0.255,0.364,0.503,1.264,6.080
130,678.000,0.224,0.092,0.151,0.178,0.254,0.397,0.430,0.596,1.227,4.462
135,831.200,0.183,0.114,0.133,0.150,0.192,0.305,0.388,0.496,1.161,5.463
140,863.000,0.170,0.071,0.129,0.145,0.177,0.260,0.363,0.483,1.475,5.891
145,734.200,0.207,0.075,0.139,0.158,0.210,0.365,0.409,0.585,19.397,4.838
150,715.800,0.220,0.094,0.145,0.174,0.251,0.399,0.434,0.569,0.983,4.539
155,638.800,0.234,0.096,0.152,0.183,0.272,0.408,0.448,0.677,1.236,4.273
160,723.600,0.204,0.082,0.136,0.158,0.214,0.375,0.414,0.583,1.047,4.895
165,777.400,0.185,0.077,0.126,0.143,0.195,0.352,0.393,0.528,0.810,5.405
170,735.000,0.196,0.077,0.139,0.158,0.200,0.361,0.402,0.559,1.119,5.097
175,895.600,0.162,0.075,0.125,0.137,0.154,0.222,0.351,0.464,1.029,6.172
180,748.800,0.203,0.073,0.139,0.161,0.209,0.384,0.425,0.577,1.483,4.929
185,665.000,0.218,0.090,0.149,0.179,0.247,0.401,0.439,0.590,1.006,4.577
190,641.000,0.245,0.089,0.159,0.191,0.295,0.422,0.463,0.681,1.989,4.075
195,675.200,0.229,0.130,0.151,0.177,0.269,0.403,0.431,0.636,1.144,4.360
200,642.800,0.233,0.098,0.151,0.180,0.301,0.403,0.431,0.612,1.902,4.294
205,685.000,0.221,0.129,0.152,0.177,0.246,0.393,0.423,0.573,2.270,4.515
210,636.600,0.238,0.129,0.156,0.184,0.294,0.409,0.440,0.645,2.141,4.197
215,847.000,0.159,0.071,0.108,0.140,0.175,0.245,0.366,0.447,1.079,6.270
220,916.600,0.145,0.070,0.119,0.131,0.147,0.201,0.320,0.413,1.033,6.898
225,901.000,0.146,0.071,0.117,0.130,0.148,0.207,0.324,0.399,1.096,6.861
230,968.000,0.149,0.114,0.124,0.134,0.145,0.183,0.241,0.384,0.743,6.729
235,841.400,0.170,0.073,0.127,0.142,0.173,0.277,0.372,0.475,0.936,5.869
240,857.800,0.164,0.085,0.125,0.137,0.154,0.252,0.351,0.496,0.931,6.080
245,787.200,0.193,0.073,0.133,0.152,0.199,0.358,0.420,0.580,7.661,5.173
250,664.800,0.227,0.089,0.161,0.186,0.248,0.396,0.430,0.597,1.454,4.404
255,633.600,0.234,0.132,0.157,0.185,0.264,0.406,0.440,0.653,1.701,4.276
260,344.000,0.220,0.129,0.154,0.179,0.243,0.394,0.428,0.539,1.227,4.552
