Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,320.000,1.132,0.608,0.933,1.069,1.254,1.463,1.647,2.426,4.362,0.884
5,356.400,1.063,0.603,0.886,1.014,1.173,1.381,1.536,1.919,2.684,0.940
10,370.400,1.012,0.539,0.836,0.981,1.148,1.326,1.458,1.765,2.861,0.988
15,355.400,1.027,0.516,0.818,0.975,1.186,1.413,1.542,2.035,2.398,0.974
20,330.600,1.111,0.610,0.926,1.059,1.238,1.447,1.614,1.948,2.611,0.900
25,358.800,1.059,0.582,0.884,1.009,1.181,1.367,1.520,1.930,5.416,0.944
30,339.200,1.098,0.641,0.917,1.057,1.227,1.418,1.570,2.021,3.098,0.911
35,338.600,1.119,0.632,0.922,1.071,1.250,1.451,1.603,2.096,2.864,0.894
40,336.000,1.102,0.632,0.919,1.038,1.225,1.438,1.589,2.078,2.529,0.908
45,320.000,1.120,0.631,0.915,1.066,1.267,1.476,1.659,2.106,3.303,0.893
50,329.600,1.116,0.648,0.927,1.071,1.254,1.467,1.590,1.892,2.689,0.896
55,345.800,1.073,0.528,0.894,1.026,1.211,1.408,1.538,1.824,2.286,0.932
60,447.200,0.892,0.496,0.723,0.842,1.003,1.207,1.336,1.646,2.418,1.122
65,432.000,0.861,0.498,0.702,0.805,0.982,1.171,1.307,1.529,2.275,1.161
70,429.800,0.859,0.470,0.713,0.815,0.961,1.137,1.272,1.532,2.059,1.164
75,497.200,0.776,0.466,0.626,0.730,0.878,1.043,1.156,1.407,4.697,1.289
80,417.200,0.916,0.468,0.733,0.863,1.047,1.239,1.398,1.791,2.356,1.092
85,470.800,0.838,0.504,0.711,0.804,0.927,1.079,1.196,1.487,5.862,1.193
90,406.400,0.944,0.488,0.769,0.904,1.067,1.260,1.387,1.739,2.573,1.060
95,444.000,0.840,0.479,0.697,0.802,0.939,1.098,1.208,1.448,2.572,1.190
100,413.800,0.917,0.484,0.739,0.865,1.050,1.241,1.380,1.730,2.713,1.091
105,411.000,0.942,0.478,0.748,0.894,1.081,1.280,1.429,1.819,5.986,1.062
110,328.600,1.108,0.602,0.936,1.066,1.226,1.427,1.572,2.022,3.976,0.903
115,410.200,0.930,0.515,0.748,0.879,1.067,1.261,1.413,1.715,2.477,1.075
120,353.600,1.082,0.540,0.892,1.037,1.224,1.427,1.582,2.052,3.658,0.924
125,437.000,0.883,0.455,0.700,0.828,1.013,1.209,1.352,1.696,4.196,1.132
130,350.600,1.097,0.601,0.905,1.035,1.227,1.435,1.611,2.099,4.390,0.911
135,408.000,0.913,0.476,0.720,0.871,1.044,1.232,1.394,1.775,4.340,1.095
140,437.000,0.876,0.434,0.708,0.829,0.995,1.181,1.329,1.619,4.999,1.142
145,383.200,0.993,0.454,0.812,0.953,1.144,1.334,1.439,1.716,2.827,1.007
150,348.600,1.057,0.473,0.854,0.998,1.189,1.447,1.694,2.080,2.373,0.946
155,312.600,1.169,0.613,0.927,1.085,1.309,1.622,1.884,2.367,4.948,0.855
160,354.400,1.026,0.521,0.810,0.977,1.173,1.408,1.593,2.013,2.730,0.974
165,388.600,0.987,0.491,0.778,0.928,1.113,1.366,1.500,2.138,5.280,1.013
170,370.000,1.005,0.465,0.802,0.957,1.150,1.360,1.514,1.890,5.046,0.995
175,449.600,0.839,0.490,0.687,0.784,0.947,1.131,1.241,1.558,3.308,1.192
180,364.000,1.016,0.500,0.824,0.970,1.162,1.372,1.500,1.896,2.903,0.985
185,334.000,1.111,0.631,0.921,1.061,1.253,1.434,1.591,2.029,2.859,0.900
190,317.200,1.173,0.635,0.961,1.113,1.299,1.547,1.760,2.346,3.404,0.853
195,320.600,1.143,0.631,0.919,1.070,1.287,1.541,1.750,2.199,3.029,0.875
200,329.200,1.148,0.637,0.930,1.085,1.261,1.531,1.741,2.282,5.342,0.871
205,344.000,1.110,0.641,0.918,1.064,1.246,1.449,1.601,1.968,2.512,0.901
210,329.400,1.126,0.634,0.939,1.080,1.253,1.462,1.633,1.997,2.600,0.888
215,416.400,0.928,0.450,0.770,0.894,1.052,1.224,1.349,1.640,2.325,1.077
220,463.800,0.838,0.444,0.673,0.782,0.940,1.144,1.272,1.624,3.275,1.194
225,471.200,0.837,0.464,0.687,0.788,0.932,1.112,1.266,1.566,2.314,1.195
230,471.800,0.804,0.479,0.676,0.764,0.889,1.043,1.157,1.403,2.770,1.244
235,410.200,0.916,0.465,0.739,0.870,1.042,1.241,1.367,1.762,2.808,1.091
240,430.800,0.895,0.485,0.717,0.834,1.029,1.241,1.350,1.663,2.493,1.117
245,379.800,0.973,0.459,0.742,0.936,1.135,1.351,1.524,1.876,3.272,1.028
250,342.000,1.107,0.620,0.922,1.062,1.226,1.451,1.588,2.019,2.451,0.903
255,327.800,1.129,0.657,0.940,1.078,1.259,1.463,1.604,2.097,3.852,0.886
260,188.200,1.079,0.658,0.919,1.036,1.194,1.370,1.504,1.811,2.615,0.927
